"spid"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
DMSO	"10Jun2015.Plate.24"	7	3	n	1	0.0	0.16
DMSO	"03Sep2014.Plate.11"	7	3	n	1	0.0	1.56
DMSO	"26Mar2014.Plate.16"	7	3	n	1	0.0	0.09
DMSO	"09Apr2014.Plate.18"	6	3	n	1	0.0	0.75
DMSO	"02Apr2014.Plate.18"	6	3	n	1	0.0	0.72
DMSO	"20130320.Plate.12"	2	3	n	1	0.0	0.153
DMSO	"20130321.Plate.5"	6	3	n	1	0.0	0.336
DMSO	"10Jun2015.Plate.32"	7	3	n	1	0.0	0.09
DMSO	"03Sep2014.Plate.2"	7	3	n	1	0.0	1.4
DMSO	"26Mar2014.Plate.4"	7	3	n	1	0.0	0.09
DMSO	"02Apr2014.Plate.25"	6	3	n	1	0.0	0.69
DMSO	"20130320.Plate.2"	2	3	n	1	0.0	0.123
